K,Threads,Run,Time
200,2,1,56
200,2,2,87
200,2,3,42
200,4,1,101
200,4,2,65
200,4,3,79
200,8,1,261
200,8,2,167
200,8,3,204
200,16,1,202
200,16,2,198
200,16,3,203
200,32,1,382
200,32,2,356
200,32,3,440
400,2,1,69
400,2,2,53
400,2,3,52
400,4,1,114
400,4,2,83
400,4,3,80
400,8,1,221
400,8,2,253
400,8,3,310
400,16,1,490
400,16,2,483
400,16,3,511
400,32,1,677
400,32,2,866
400,32,3,745
800,2,1,142
800,2,2,126
800,2,3,113
800,4,1,266
800,4,2,246
800,4,3,214
800,8,1,444
800,8,2,366
800,8,3,555
800,16,1,674
800,16,2,466
800,16,3,581
800,32,1,1099
800,32,2,666
800,32,3,880
